Date,0,1,2,3,4,5,6,7,8,9
2013-06-02 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-03 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-05 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-06 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-07 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-08 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-09 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-10 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-11 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-12 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-13 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-14 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-15 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-16 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-17 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-18 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-19 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-20 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-21 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-22 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-23 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-24 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-25 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-26 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-27 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-28 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-29 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-06-30 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-01 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-02 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-03 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-04 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-05 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-06 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-07 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-08 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-09 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-10 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-11 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-12 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-13 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-14 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-15 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-16 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-17 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-18 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-19 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-20 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-21 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-22 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-23 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-24 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-25 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-26 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-27 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
